"x","y","z","V1"
6,74,0,0.333333
77,75,0,0.333333
77,26,0,0.333333
87,83,0,0.333333
3,91,0,0.333333
13,30,0,0.333333
94,76,0,0.666667
45,65,0,0
45,25,0,0.333333
30,69,0,0.333333
48,15,0,0
93,13,0,0
90,7,0,0
98,7,0,0
65,49,0,0
87,4,0,0
73,64,0,0.666667
47,58,0,0
55,84,0,0.666667
49,101,0,0.333333
38,62,0,0
92,6,0,0
55,6,0,0
41,88,0,0
30,54,0,0
1,72,0,0
67,17,0,0
76,70,0,0.666667
56,68,0,0.333333
69,100,0,0.333333
23,25,0,0.333333
34,84,0,0
73,93,0,0.666667
20,89,0,0.666667
101,30,0,0
60,87,0,0.333333
39,88,0,0
96,46,0,0.333333
92,27,0,0
94,4,0,0
54,9,0,0
43,36,0,0
58,83,0,0.333333
83,44,0,0
28,25,0,0.333333
52,68,0,0.333333
98,69,0,0
43,49,0,0
67,85,0,0.333333
30,40,0,0
80,49,0,0
15,3,0,0
92,70,0,0
45,88,0,0.666667
1,12,0,0
25,15,0,1
22,22,0,0.333333
47,10,0,1
3,92,0,0.333333
85,22,0,1
100,86,0,0.666667
29,13,0,1
40,70,0,0.666667
91,75,0,0.666667
44,81,0,0.666667
81,35,0,0.666667
83,71,0,0
61,53,0,0
54,96,0,0.666667
55,54,0,0
97,55,0,1
68,21,0,0
62,19,0,0.666667
45,51,0,0
13,43,0,0
73,61,0,1
45,64,0,0
87,16,0,1
79,4,0,1
31,63,0,0.666667
26,32,0,0.666667
97,34,0,0
75,93,0,0.666667
67,80,0,0.666667
101,60,0,0
41,6,0,1
38,19,0,1
97,41,0,1
66,16,0,0
40,78,0,0.666667
87,29,0,0.333333
96,23,0,0
85,31,0,0.333333
8,40,0,0.666667
37,11,0,1
5,2,0,0.666667
48,74,0,0.333333
50,79,0,0.666667
97,61,0,0
39,47,0,0
24,80,0,0
91,43,0,0.666667
